"","Area","Value","Address","Unit"
"1","1,693","$1,100,000","130 S 18TH ST","1001"
"2","1,705","$1,108,000","130 S 18TH ST","1002"
"3","2,566","$1,698,000","130 S 18TH ST","1003"
"4","3,229","$2,482,000","130 S 18TH ST","1004"
"5","1,524","$1,020,000","130 S 18TH ST","1005"
"6","1,693","$1,100,000","130 S 18TH ST","1101"
"7","1,706","$1,109,000","130 S 18TH ST","1102"
"8","2,566","$1,698,000","130 S 18TH ST","1103"
"9","3,277","$2,210,000","130 S 18TH ST","1104"
"10","1,523","$1,020,000","130 S 18TH ST","1105"
"11","1,692","$1,100,000","130 S 18TH ST","1201"
"12","1,707","$1,109,000","130 S 18TH ST","1202"
"13","2,566","$1,698,000","130 S 18TH ST","1203"
"14","1,689","$1,098,000","130 S 18TH ST","1204"
"15","1,526","$992,000","130 S 18TH ST","1205"
"16","1,514","$1,014,000","130 S 18TH ST","1206"
"17","1,692","$1,100,000","130 S 18TH ST","1301"
"18","1,707","$1,109,000","130 S 18TH ST","1302"
"19","2,566","$1,698,000","130 S 18TH ST","1303"
"20","1,689","$1,098,000","130 S 18TH ST","1304"
"21","1,526","$992,000","130 S 18TH ST","1305"
"22","1,514","$1,014,000","130 S 18TH ST","1306"
"23","1,692","$1,100,000","130 S 18TH ST","1401"
"24","1,707","$1,109,000","130 S 18TH ST","1402"
"25","2,566","$1,698,000","130 S 18TH ST","1403"
"26","1,689","$1,098,000","130 S 18TH ST","1404"
"27","1,526","$992,000","130 S 18TH ST","1405"
"28","1,514","$1,014,000","130 S 18TH ST","1406"
"29","2,294","$1,521,000","130 S 18TH ST","1501"
"30","2,210","$1,436,000","130 S 18TH ST","1502"
"31","1,860","$1,230,400","130 S 18TH ST","1503"
"32","4,421","$2,874,300","130 S 18TH ST","1504"
"33","2,294","$1,521,000","130 S 18TH ST","1601"
"34","2,210","$1,436,000","130 S 18TH ST","1602"
"35","2,588","$1,712,000","130 S 18TH ST","1603"
"36","3,693","$2,401,000","130 S 18TH ST","1604"
"37","2,294","$1,521,000","130 S 18TH ST","1701"
"38","2,210","$1,436,000","130 S 18TH ST","1702"
"39","2,588","$1,712,000","130 S 18TH ST","1703"
"40","3,693","$2,401,000","130 S 18TH ST","1704"
"41","2,294","$1,521,000","130 S 18TH ST","1801"
"42","2,210","$1,436,000","130 S 18TH ST","1802"
"43","1,873","$1,239,000","130 S 18TH ST","1803"
"44","4,408","$2,865,900","130 S 18TH ST","1804"
"45","2,294","$1,521,000","130 S 18TH ST","1901"
"46","1,900","$1,436,000","130 S 18TH ST","1902"
"47","3,032","$1,712,000","130 S 18TH ST","1903"
"48","3,693","$2,401,000","130 S 18TH ST","1904"
"49","2,294","$1,521,000","130 S 18TH ST","2001"
"50","2,210","$1,436,000","130 S 18TH ST","2002"
"51","2,588","$1,712,000","130 S 18TH ST","2003"
"52","3,693","$2,401,000","130 S 18TH ST","2004"
"53","2,294","$1,521,000","130 S 18TH ST","2101"
"54","2,210","$1,436,000","130 S 18TH ST","2102"
"55","2,588","$1,712,000","130 S 18TH ST","2103"
"56","3,693","$2,401,000","130 S 18TH ST","2104"
"57","2,294","$1,521,000","130 S 18TH ST","2201"
"58","2,210","$1,436,000","130 S 18TH ST","2202"
"59","2,588","$1,712,000","130 S 18TH ST","2203"
"60","3,693","$2,401,000","130 S 18TH ST","2204"
"61","2,294","$1,521,000","130 S 18TH ST","2301"
"62","2,210","$1,436,000","130 S 18TH ST","2302"
"63","2,588","$1,712,000","130 S 18TH ST","2303"
"64","3,693","$2,401,000","130 S 18TH ST","2304"
"65","2,294","$1,521,000","130 S 18TH ST","2401"
"66","2,210","$1,436,000","130 S 18TH ST","2402"
"67","2,588","$1,712,000","130 S 18TH ST","2403"
"68","3,693","$2,401,000","130 S 18TH ST","2404"
"69","2,294","$1,521,000","130 S 18TH ST","2501"
"70","2,210","$1,436,000","130 S 18TH ST","2502"
"71","2,588","$1,712,000","130 S 18TH ST","2503"
"72","3,693","$2,401,000","130 S 18TH ST","2504"
"73","2,294","$2,042,000","130 S 18TH ST","2601"
"74","2,209","$1,928,000","130 S 18TH ST","2602"
"75","2,588","$2,299,000","130 S 18TH ST","2603"
"76","3,608","$3,173,000","130 S 18TH ST","2604"
"77","2,294","$2,042,000","130 S 18TH ST","2701"
"78","2,209","$1,928,000","130 S 18TH ST","2702"
"79","2,588","$2,299,000","130 S 18TH ST","2703"
"80","3,563","$3,131,000","130 S 18TH ST","2704"
"81","2,560","$2,336,000","130 S 18TH ST","2801"
"82","4,934","$4,503,000","130 S 18TH ST","2803"
"83","2,926","$2,670,000","130 S 18TH ST","2804"
"84","2,294","$2,083,800","130 S 18TH ST","2901"
"85","2,209","$2,006,600","130 S 18TH ST","2902"
"86","2,588","$2,350,800","130 S 18TH ST","2903"
"87","3,287","$2,985,800","130 S 18TH ST","2904"
"88","2,294","$2,084,300","130 S 18TH ST","3001"
"89","2,209","$2,007,000","130 S 18TH ST","3002"
"90","2,588","$2,351,300","130 S 18TH ST","3003"
"91","3,287","$2,986,400","130 S 18TH ST","3004"
"92","4,162","$4,800,000","130 S 18TH ST","3302"
"93","697","$312,300","1701 LOCUST ST","1401"
"94","1,199","$544,900","1701 LOCUST ST","1402"
"95","1,978","$855,200","1701 LOCUST ST","1404"
"96","1,614","$694,200","1701 LOCUST ST","1412"
"97","2,421","$1,052,200","1701 LOCUST ST","1414"
"98","712","$319,200","1701 LOCUST ST","1415"
"99","417","$184,300","1701 LOCUST ST","1417"
"100","697","$312,300","1701 LOCUST ST","1501"
"101","423","$187,100","1701 LOCUST ST","1503"
